id;street;street_suite;postal_code;state;country;latitude;longitude
1;Mercier du Faubourg Saint-Honoré;Granite Gorgeous;strategy benchmark;Alsace digital paradigm;Turquie;18788;66147
2;Lefebvre Vaneau;b override;feed;solution;Érythrée;16336;69611
3;Zéphirin de Solférino;navigate;a Cotton;input Bahraini Visionary;Côte d’Ivoire;77267;39606
4;Leclercq de Solférino;salmon e-business program;c Designer;Midi-Pyrénées Loan technologies;Jamaïque;36202;85599
5;Joly des Grands Augustins;Chips a;Proactive;turquoise calculate;Lesotho;51689;33167
6;Caron de Montmorency;lime;withdrawal;Towels;Danemark;15941;19067
7;Girard de Nesle;24/7 Account;structure;Outdoors XML;Burkina Faso;85961;46601
8;Vasseur d'Alésia;Open-source;Chicken copy;Manager;Éthiopie;22545;56233
9;Roger Saint-Denis;Licensed;Irak Computers Tasty;Rubber Sausages Berkshire;République démocratique du Congo;74182;62131
10;Huet Charlemagne;Chair;throughput deposit redundant;cutting-edge;Bulgarie;38515;53949
