id;minimum_list;maximum_list;created_date;lastupdated;departure_date;arrival_date;content_date
1;17635;24817;2021-10-03;2021-10-03;2021-10-02;2021-10-02;2021-10-03T04:37:09
2;22062;43158;2021-10-03;2021-10-03;2021-10-03;2021-10-02;2021-10-02T18:39:14
3;66653;82134;2021-10-02;2021-10-03;2021-10-02;2021-10-02;2021-10-03T09:11:18
4;45258;6423;2021-10-03;2021-10-02;2021-10-03;2021-10-03;2021-10-02T23:42:57
5;51292;72771;2021-10-03;2021-10-02;2021-10-02;2021-10-02;2021-10-02T18:11:39
6;91240;63098;2021-10-03;2021-10-03;2021-10-02;2021-10-03;2021-10-03T03:29:29
7;22281;75278;2021-10-03;2021-10-03;2021-10-02;2021-10-02;2021-10-03T13:27:50
8;82725;41717;2021-10-03;2021-10-03;2021-10-02;2021-10-02;2021-10-02T23:49:51
9;30660;49412;2021-10-02;2021-10-02;2021-10-03;2021-10-03;2021-10-02T23:08:42
10;87069;36483;2021-10-02;2021-10-02;2021-10-03;2021-10-02;2021-10-03T07:23:43
